date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,07.4748,0.0021,0.0772,2.4044,359.3455,3.8295
2019-01-16,11,39,07.5128,0.0021,0.0739,2.4315,359.4044,3.9034
2019-01-16,11,39,07.5487,0.0024,0.0696,2.4567,359.3807,3.8855
2019-01-16,11,39,07.5857,0.0026,0.0654,2.4816,359.4656,3.8596
2019-01-16,11,39,07.6211,0.0029,0.0609,2.5068,359.6201,3.9141
2019-01-16,11,39,07.6561,0.0032,0.0569,2.5324,359.6941,3.9202
2019-01-16,11,39,07.6920,0.0034,0.0523,2.5735,359.3535,3.9300
2019-01-16,11,39,07.7264,0.0032,0.0502,2.6040,358.8777,3.8721
2019-01-16,11,39,07.7639,0.0027,0.0484,2.6325,359.3157,3.9780
2019-01-16,11,39,07.8033,0.0033,0.0491,2.6586,359.1836,4.3742
2019-01-16,11,39,07.8353,0.0040,0.0516,2.6843,358.9963,4.5742
2019-01-16,11,39,07.8732,0.0065,0.0573,2.7240,358.9095,4.7805
2019-01-16,11,39,07.9107,0.0094,0.0632,2.7527,358.9352,4.6550
2019-01-16,11,39,07.9491,0.0131,0.0664,2.7798,359.8271,4.6910
2019-01-16,11,39,07.9835,0.0171,0.0678,2.8051,359.8078,4.7789
2019-01-16,11,39,08.0175,0.0214,0.0676,2.8304,359.3331,4.9140
2019-01-16,11,39,08.0534,0.0259,0.0662,2.8561,359.1399,5.0498
2019-01-16,11,39,08.0894,0.0331,0.0627,2.8958,359.2608,5.1426
2019-01-16,11,39,08.1263,0.0393,0.0592,2.9253,359.5689,5.1079
2019-01-16,11,39,08.1628,0.0464,0.0558,2.9555,359.5393,5.0898
2019-01-16,11,39,08.1992,0.0534,0.0519,2.9829,359.4407,5.0455
2019-01-16,11,39,08.2366,0.0609,0.0471,3.0103,358.9399,4.8858
2019-01-16,11,39,08.2726,0.0727,0.0392,3.0516,358.5016,4.5271
2019-01-16,11,39,08.3075,0.0819,0.0336,3.0820,358.1636,4.1342
2019-01-16,11,39,08.3460,0.0918,0.0289,3.1139,357.0720,3.6351
2019-01-16,11,39,08.3809,0.1006,0.0266,3.1419,357.4276,3.2195
2019-01-16,11,39,08.4178,0.1086,0.0288,3.1687,357.6701,2.8089
2019-01-16,11,39,08.4528,0.1156,0.0314,3.1958,356.7815,2.5518
2019-01-16,11,39,08.4872,0.1222,0.0352,3.2222,357.1642,2.3937
2019-01-16,11,39,08.5292,0.1313,0.0427,3.2620,357.6371,2.0983
2019-01-16,11,39,08.5671,0.1357,0.0520,3.2896,358.1234,1.9877
2019-01-16,11,39,08.6041,0.1400,0.0581,3.3155,358.0583,1.6451
2019-01-16,11,39,08.6445,0.1459,0.0644,3.3532,357.2995,1.1299
2019-01-16,11,39,08.6774,0.1496,0.0646,3.3801,356.8088,0.7169
2019-01-16,11,39,08.7134,0.1528,0.0611,3.4053,357.2148,0.3823
2019-01-16,11,39,08.7483,0.1552,0.0581,3.4292,357.7094,0.1454
2019-01-16,11,39,08.7843,0.1565,0.0551,3.4528,357.9567,0.0284
2019-01-16,11,39,08.8202,0.1573,0.0503,3.4894,358.2118,359.8242
2019-01-16,11,39,08.8567,0.1567,0.0463,3.5145,358.7144,359.7228
2019-01-16,11,39,08.8916,0.1554,0.0425,3.5418,358.6097,359.7246
2019-01-16,11,39,08.9300,0.1536,0.0395,3.5670,358.9043,359.8281
2019-01-16,11,39,08.9660,0.1518,0.0370,3.5912,358.9504,359.9386
2019-01-16,11,39,09.0014,0.1500,0.0357,3.6148,359.3131,0.0045
2019-01-16,11,39,09.0384,0.1477,0.0370,3.6494,359.4614,0.1642
2019-01-16,11,39,09.0738,0.1464,0.0385,3.6734,358.8544,359.9619
2019-01-16,11,39,09.1088,0.1462,0.0409,3.6972,358.9125,359.8351
2019-01-16,11,39,09.1492,0.1464,0.0442,3.7175,359.3640,359.8848
2019-01-16,11,39,09.1886,0.1470,0.0481,3.7357,0.1955,359.9149
2019-01-16,11,39,09.2276,0.1476,0.0535,3.7637,0.0667,0.1488
2019-01-16,11,39,09.2660,0.1481,0.0554,3.7824,0.2427,0.2829
2019-01-16,11,39,09.3050,0.1480,0.0568,3.8079,0.7886,0.1329
2019-01-16,11,39,09.3444,0.1477,0.0569,3.8248,0.7166,359.4588
2019-01-16,11,39,09.3843,0.1470,0.0562,3.8408,0.8515,358.1801
2019-01-16,11,39,09.4198,0.1466,0.0556,3.8550,0.8828,356.7899
2019-01-16,11,39,09.4577,0.1459,0.0548,3.8750,1.3536,354.2738
2019-01-16,11,39,09.4932,0.1456,0.0537,3.8883,2.0760,351.9793
2019-01-16,11,39,09.5286,0.1451,0.0524,3.9003,2.5138,349.3221
2019-01-16,11,39,09.5645,0.1442,0.0521,3.9120,2.2262,346.2763
2019-01-16,11,39,09.5985,0.1427,0.0507,3.9231,2.0693,342.9618
2019-01-16,11,39,09.6344,0.1410,0.0505,3.9330,2.8524,339.3764
2019-01-16,11,39,09.6684,0.1389,0.0513,3.9430,3.3224,335.5358
2019-01-16,11,39,09.7048,0.1340,0.0526,3.9586,2.7590,329.3882
2019-01-16,11,39,09.7413,0.1303,0.0522,3.9685,3.0775,324.7617
2019-01-16,11,39,09.7797,0.1267,0.0506,3.9771,3.4211,320.3241
2019-01-16,11,39,09.8137,0.1225,0.0495,3.9846,3.7742,316.3144
2019-01-16,11,39,09.8506,0.1178,0.0484,3.9911,4.0693,312.3957
2019-01-16,11,39,09.8865,0.1122,0.0479,3.9974,4.1296,308.5688
2019-01-16,11,39,09.9250,0.1020,0.0483,4.0064,4.3156,302.9380
2019-01-16,11,39,09.9624,0.0933,0.0490,4.0121,4.8727,299.2386
2019-01-16,11,39,09.9964,0.0844,0.0502,4.0170,5.3303,296.0700
2019-01-16,11,39,10.0343,0.0744,0.0518,4.0229,4.7744,293.4111
2019-01-16,11,39,10.0737,0.0580,0.0515,4.0294,4.3002,289.7789
2019-01-16,11,39,10.1132,0.0459,0.0487,4.0340,4.9079,287.7848
2019-01-16,11,39,10.1526,0.0319,0.0457,4.0389,5.1657,286.1559
2019-01-16,11,39,10.1916,0.0110,0.0428,4.0450,5.3273,284.2805
2019-01-16,11,39,10.2320,-0.0069,0.0420,4.0501,4.7048,283.4578
2019-01-16,11,39,10.2704,-0.0251,0.0405,4.0537,4.1159,282.9281
2019-01-16,11,39,10.3059,-0.0526,0.0369,4.0581,3.8202,282.0850
2019-01-16,11,39,10.3413,-0.0745,0.0331,4.0604,3.9697,281.5615
2019-01-16,11,39,10.3778,-0.0989,0.0299,4.0622,3.6494,280.9785
2019-01-16,11,39,10.4132,-0.1220,0.0281,4.0633,3.2317,280.4874
2019-01-16,11,39,10.4482,-0.1466,0.0268,4.0639,3.0239,280.3163
