,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
17,0.9903,0.9651,-0.025,-0.0035,0.0157,-0.0034,13.6902,356.2545,78.4032,0.040999999999999995,0.0606,0.9656,3.7815,0.7724,-0.012500630395293144,-0.0028973023799999838,0.31023344712285605,0.0,0.0,0.7824824452400208,-0.00353457199233288,-0.004723375815199995,0.32462848074529904
18,1.0399,1.0166,-0.023,-0.0238,-0.0045,-0.0866,13.0765,356.0412,77.8246,0.0418,0.0496,1.0211,1.6764,0.5714,-0.011629851940688208,0.0049738202248000365,0.3413221883214798,0.0,0.0,0.9215104579925537,-0.0030787530705872483,-0.004723375815199995,0.3703331265448344
19,1.09,1.0674,-0.023,-0.0378,0.0058,-0.0638,12.3391,355.87300000000005,77.4271,0.0427,0.0365,1.0756,1.6592,359.4093,-0.010441407676350536,0.013066957792000048,0.37117601416689056,0.0,0.0,1.025715947151184,-0.0036085402916493335,-0.004723375815199995,0.4217187645098872
20,1.1403,1.1193,-0.021,-0.023,-0.1447,-0.0596,11.5088,355.3243,77.3847,0.0444,0.0288,1.1312,1.5639,358.5255,-0.00910256328291113,0.017604583868200054,0.39970124453449923,0.0,0.0,1.0693771839141846,-0.004992658253513715,-0.004723375815199995,0.47549062582305957
21,1.2001,1.2226,0.022000000000000002,-0.003,-0.1997,-0.0063,10.5265,354.381,76.2994,0.0444,0.0277,1.1853,2.2801,357.6928,-0.00788993317982271,0.01600069201500008,0.43341712121890263,0.0,0.0,1.0416475534439087,-0.007500309959531172,-0.004723375815199995,0.5377306533394133
22,1.2501,1.274,0.024,-0.0003,-0.1706,-0.0049,9.6127,354.0341,73.8552,0.0436,0.0325,1.2394,1.7665,357.0488,-0.007179424051896637,0.010479945315000091,0.4614977564486205,0.0,0.0,0.9770711660385132,-0.010015554165609609,-0.004723375815199995,0.5865194195191749
23,1.2999,1.274,-0.026000000000000002,-0.0003,-0.1706,-0.0049,9.6127,354.0341,73.8552,0.0422,0.0389,1.2911,2.6756,357.0038,-0.00648021720652664,0.0008349523266000872,0.48934806870370723,0.0,0.0,0.8420969843864441,-0.012207559799320221,-0.004723375815199995,0.6283985223934561
24,1.3553,1.3415,-0.013999999999999999,-0.0063,-0.1234,0.0612,9.275,353.4541,71.5156,0.0394,0.0548,1.3586,4.8805,356.2499,-0.006041413975559533,-0.01360621475779987,0.522186906996889,0.0,0.0,0.679336667060852,-0.01466908855257416,-0.004723375815199995,0.6659531894904204
25,1.4003,1.3938,-0.006999999999999999,-0.0101,-0.0738,0.0889,9.0184,353.0944,68.4029,0.0377,0.0642,1.4125,4.265,356.1367,-0.005656573945567473,-0.026800965627799905,0.5506354218409755,0.0,0.0,0.5717518329620361,-0.016402600138964184,-0.004723375815199995,0.6916235568141097
26,1.4653,1.4604,-0.005,-0.0216,0.1722,0.0708,9.3392,352.6755,65.3742,0.0349,0.0634,1.4651,4.2927,355.3332,-0.005024121266334505,-0.03873010921779989,0.5947259959969596,0.0,0.0,0.5226314663887024,-0.01916651815502708,-0.004723375815199995,0.7254819778790724
27,1.5102,1.5128,0.003,-0.0202,0.3046,-0.003,9.0795,352.1968,62.8626,0.0325,0.0561,1.5201,4.0327,354.5712,-0.004589414624554149,-0.04095244342839989,0.6251642771082196,0.0,0.0,0.6020897030830383,-0.021724154134321137,-0.004723375815199995,0.7523945462552736
28,1.5603,1.5797,0.019,0.0235,0.1105,-0.0512,9.0549,351.8132,60.0949,0.0301,0.0448,1.5795,2.9814,354.8214,-0.00441807600304484,-0.04071406281879989,0.6578188049084175,0.0,0.0,0.7469173669815063,-0.02510175673679818,-0.004723375815199995,0.7896623623677416
29,1.6202,1.6312,0.011000000000000001,0.0419,0.2,-0.0655,8.236,351.9362,55.945,0.0246,0.0241,1.6633,2.1822,354.4276,-0.005724267858449893,-0.03339655326839988,0.6944260079165442,0.0,0.0,0.8874282836914062,-0.030263481794184546,-0.004723375815199995,0.8425681122775662
30,1.67,1.6818,0.012,0.0312,-0.1109,-0.048,7.6770000000000005,352.2605,52.5593,0.0198,0.0089,1.733,3.3895,355.7619,-0.0067712348169425285,-0.030008237960399878,0.7236582857522099,0.0,0.0,0.986268162727356,-0.033893232681994845,-0.004723375815199995,0.8915499613824721
31,1.7203,1.7333,0.013000000000000001,0.0042,-0.1823,-0.0164,7.3457,352.2411,50.2063,0.0124,0.0053,1.8015,5.3579,356.2574,-0.007650708639258632,-0.031106010410999866,0.752779534901605,0.0,0.0,0.930774450302124,-0.03694923961115996,-0.004723375815199995,0.9382680704838042
32,1.7703,1.7981,0.027999999999999997,-0.0011,-0.2162,0.0133,7.3591,352.1871,48.9224,0.004,0.0193,1.8638,3.0873,355.3036,-0.009006502103737378,-0.037494135510999865,0.7820354977318306,0.0,0.0,0.7659924626350403,-0.04008505526109644,-0.004723375815199995,0.9764391039024038
33,1.8402,1.8502,0.01,-0.0454,-0.212,0.1216,7.3766,352.0534,48.9268,-0.0002,0.0406,1.9418,1.2599,355.7196,-0.008871659838019479,-0.05657590877679988,0.8289165904198164,0.0,0.0,0.7553370594978333,-0.044025775822479345,-0.004723375815199995,1.0290898960111519
34,1.8902,1.903,0.013000000000000001,-0.0262,-0.1107,0.0864,7.3982,352.0924,48.5641,-0.0043,0.0596,1.9914,3.4732,355.8997,-0.008180896683520395,-0.0729373958767999,0.8646078020474263,0.0,0.0,0.6634315252304077,-0.046397631991099385,-0.004723375815199995,1.06217656658994
35,1.9403,1.9539,0.013999999999999999,0.0208,-0.0436,0.14800000000000002,8.1939,351.7473,49.9997,-0.0072,0.0736,2.0444,2.9899,356.1644,-0.008077563594392075,-0.09040408302379983,0.9039649553270166,0.0,0.0,0.5679953098297119,-0.04830120143226258,-0.004723375815199995,1.0905693916741166
36,2.0003,2.004,0.004,0.0488,0.4472,-0.0496,8.3839,351.58099999999996,50.8575,-0.0092,0.0751,2.1006,2.8336,355.7873,-0.009852499736440748,-0.09554505522379979,0.9492274318971698,0.0,0.0,0.5358004570007324,-0.05066277163660814,-0.004723375815199995,1.1226305621638204
37,2.05,2.0552,0.005,0.1066,0.3892,-0.1313,7.6024,352.4459,47.2536,-0.0121,0.0702,2.1773,2.9926,355.7132,-0.013706880821217389,-0.09038217538839984,0.9833555591340079,0.0,0.0,0.6982369422912598,-0.05325673919128699,-0.004723375815199995,1.1572358541663876
