,Unnamed: 0,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
42,42,2.3302,2.3115,-0.019,0.0018597806504618434,-0.2977,-0.003849833234332069,5.971,352.9877,49.695,2.429204868881816,0.0269,0.6740936693078207,1.1845,353.6799,-1.1093305239097524,-0.03564954250619965,0.2717948026933131,0.0,0.0,1.3511607646942139,-0.05127353701776777,-0.004723375815199995,1.7783717801442995
43,43,2.3804,2.362,-0.018000000000000002,0.024577353108788672,-0.2775,0.029982723594862364,5.7122,353.1408,49.6203,2.481085239350086,0.0426,0.6902725802747235,0.1557,353.4562,-1.1362851827522016,-0.04394733835379957,0.27808991921478166,0.0,0.0,1.2281267642974854,-0.05829956252903276,-0.004723375815199995,1.8396220828151615
44,44,2.4301,2.4138,-0.016,0.03944902777478792,-0.1815,0.015436133182374759,5.5076,353.2741,50.0473,2.544537772864728,0.0644,0.7092416601304596,0.9464,354.8619,-1.1637950110100306,-0.056556035915399545,0.2852617536288672,0.0,0.0,1.031077265739441,-0.06288885008002501,-0.004723375815199995,1.8906607086839864
45,45,2.4854,2.4809,-0.004,0.10246034200418144,-0.0109,0.010165053683388707,5.1856,353.5634,49.7173,2.596464830343745,0.076,0.7240872218096559,0.2549,356.6573,-1.197222697610416,-0.07091209696759947,0.2943218535040086,0.0,0.0,0.9163861274719238,-0.06584367675738881,-0.004723375815199995,1.9412506431265408
46,46,2.5351,2.5319,-0.003,0.11072161292580188,0.0818,0.002129420369231808,6.6263,352.6946,54.1367,2.648102110074876,0.0771,0.7388551377753214,0.2401,357.654,-1.229799205715554,-0.08183425673779944,0.3029276197323947,0.0,0.0,0.7991005182266235,-0.06746938204585559,-0.004723375815199995,1.980932651635319
47,47,2.5904,2.5824,-0.008,0.04384387474325683,0.2591,-0.002124769986988132,7.5329,352.2963,55.9132,2.7027873819136614,0.0698,0.7526797912580724,359.8901,358.6682,-1.2671832751884353,-0.08622204143139939,0.3130489306006083,0.0,0.0,0.7707518339157104,-0.06846002457225457,-0.004723375815199995,2.0235437141388912
48,48,2.6403,2.6339,-0.006,-0.16100523617613027,0.528,-0.012289992834355872,7.1823,352.2315,55.3917,2.7579505398673176,0.0596,0.7654936901409258,359.6691,359.9373,-1.2967770758791863,-0.07729705477619933,0.32263119742893465,0.0,0.0,0.8324379920959473,-0.06850548120486032,-0.004723375815199995,2.0650823450723927
49,49,2.6903,2.7013,0.011,-0.11299464163757066,0.1828,0.013308304219433291,7.0049,352.2789,53.8337,2.8142039563715397,0.047,0.7769432810332886,359.5651,2.4306,-1.323204716354087,-0.06387558237619918,0.33372191940438245,0.0,0.0,1.0542867183685303,-0.06626990575367782,-0.004723375815199995,2.117749255117722
50,50,2.745,2.7532,0.008,-0.015318006498076334,-0.0685,0.06991779942850669,6.723,352.196,52.7764,2.873394902329964,0.0361,0.7882482320082782,358.4583,5.5184,-1.3507767726942916,-0.05120108158759911,0.3493923922438229,0.0,0.0,1.2089216709136963,-0.05991067806103274,-0.004723375815199995,2.1835707914395117
51,51,2.7901,2.8207,0.031,0.026209273416932192,-0.2879,0.02814238772663918,6.7028,351.9621,52.6119,2.9330466457712987,0.0281,0.7966743523734987,358.1743,9.6991,-1.3729279114109876,-0.04648978693799904,0.36457653668967416,0.0,0.0,1.307035207748413,-0.04997959880617084,-0.004723375815199995,2.2416754935900074
52,52,2.8504,2.8739,0.023,0.050233815345314806,-0.2982,0.06791563734408164,6.8366,351.7137,52.7917,2.9898283518754147,0.0257,0.8026750066633083,359.2384,12.4795,-1.4027497306296657,-0.05081661416159896,0.3890406371573968,0.0,0.0,1.3154964447021484,-0.03283835861257777,-0.004723375815199995,2.319125761312911
53,53,2.9003,2.8739,-0.026,0.050233815345314806,-0.2982,0.06791563734408164,6.8366,351.7137,52.7917,3.0612515161529332,0.033,0.8034883974590862,0.2698,15.9153,-1.426894893081733,-0.061673894883998895,0.41265787598148834,0.0,0.0,1.268388271331787,-0.015482520173641535,-0.004723375815199995,2.3799922125749258
54,54,2.9551,2.9398,-0.015,0.06847308932793479,-0.2003,0.08677906451379078,6.9146,351.4117,53.5965,3.1148434442954396,0.0445,0.7943475420303889,1.6068,20.2749,-1.4523680292489025,-0.0794921087463987,0.4436287995097154,0.0,0.0,1.1451295614242554,0.006262982111516453,-0.004723375815199995,2.4388571825121907
55,55,3.0102,2.9915,-0.019,0.05238954403508712,-0.0445,0.1128030836271583,6.851,350.9459,55.2078,3.1568978845686373,0.0562,0.7803552565377291,2.8518,23.4991,-1.4762798624774198,-0.09873187153619872,0.4798599128522557,0.0,0.0,1.031030535697937,0.028915011639994742,-0.004723375815199995,2.490955521716669
56,56,3.062,3.0568,-0.005,0.06474052036704403,0.0011,0.1053456454847772,6.8613,350.4376,56.912,3.2002685854975805,0.0574,0.7645415820459439,1.7133,27.5568,-1.4965207570387526,-0.11679041830539849,0.5186698675568955,0.0,0.0,0.9756361246109009,0.05229526889026852,-0.004723375815199995,2.5357600760381667
57,57,3.1203,3.1114,-0.009000000000000001,-0.010492858584895641,0.1676,0.12338861340787236,7.8274,349.5633,60.1756,3.258731388486289,0.0556,0.7383814852054609,1.8156,33.0793,-1.512456110420456,-0.1315323900883984,0.5675924465718816,0.0,0.0,0.9341890811920166,0.08202125657578332,-0.004723375815199995,2.5813956801525793
58,58,3.17,3.1783,0.008,-0.09058977710135284,0.3026,0.0931268612416805,8.5981,348.9134,62.65,3.3059492020015697,0.0369,0.7159375976893418,4.0999,36.2665,-1.5205994048596776,-0.1367747288921983,0.6105094960826437,0.0,0.0,0.9625025987625122,0.11031847743266743,-0.004723375815199995,2.619964922597463
59,59,3.2204,3.2451,0.025,-0.11572618317908158,0.1541,0.18577809485190028,9.0257,348.431,64.6413,3.3488277822471018,0.0338,0.6861193590403629,4.3596,39.0483,-1.5215847185027838,-0.13825480462499817,0.6561572461573267,0.0,0.0,1.0004544258117676,0.14208366075234108,-0.004723375815199995,2.6591241141335225
60,60,3.2703,3.2451,-0.025,-0.11572618317908158,0.1541,0.18577809485190028,9.0257,348.431,64.6413,3.3939349269285106,0.0267,0.656484151960094,3.0811,41.5635,-1.5154553519035758,-0.13595983376499804,0.7028698219953656,0.0,0.0,1.0941885709762573,0.17830802062748385,-0.004723375815199995,2.6999769819639643
61,61,3.3301,3.3127,-0.017,-0.1564737516490916,-0.0236,0.14659677706163393,7.2622,348.0981,66.2783,3.4397358062334233,0.017,0.6231007810263959,2.2454,44.2317,-1.4979990047514353,-0.1340366145761979,0.758303358078177,0.0,0.0,1.171623706817627,0.22718134999700731,-0.004723375815199995,2.7501789274554573
62,62,3.3703,3.3628,-0.006999999999999999,-0.021944271965841398,-0.3175,0.1004429137763794,6.8593,347.8862,66.8371,3.4847191161036952,0.0123,0.5892912877868476,2.3696,46.5494,-1.4833729030213565,-0.1377720566249978,0.795904688872118,0.0,0.0,1.126760482788086,0.26006461225615723,-0.004723375815199995,2.7813301388387903
